,dma_name,median_income,poverty_rate,bach_plus_rate,grad_prof_rate,population,dma_race_total,pct_hispanic,pct_nh_white,pct_nh_black,pct_nh_aian,pct_nh_asian,pct_nh_nhpi,pct_nh_sor,pct_nh_two_plus,search_interest,score_all_ela,score_all_math,score_all_ela_g5,score_all_ela_g6,score_all_ela_g7,score_all_ela_g8,score_all_math_g3,score_all_math_g4,score_all_math_g5,score_all_math_g6,score_all_ela_g3,score_all_ela_g4,score_all_math_g7,score_all_math_g8,cluster_id
27,Butte-Bozeman MT,59471.72921078189,12.831635617181144,40.19782893801255,13.562026956562958,188427.0,188427.0,3.817393473334501,91.2815042430225,0.4256290234414388,1.2089562536154586,0.9987952894224288,0.0090220615941452,0.0260047657713597,2.232694889798171,53.17741935483871,6.537708187168944,6.36760058095796,6.09330907479825,7.000335496178702,7.963506096147149,8.78001112027824,3.8449462923365543,5.001653479547358,5.902063580196097,6.7929368986510985,4.285255236793617,5.346447215421009,7.91232132251725,9.034902026706984,2
28,Casper-Riverton WY,60730.30996591684,10.654611161109832,22.727364164872967,8.137032045221378,146700.0,146700.0,8.173142467620995,82.1976823449216,0.7361963190184049,5.948875255623722,0.4526244035446489,0.0988411724608043,0.0402181322426721,2.352419904567144,142.55172413793102,5.57230063885912,5.655472367892343,4.985800059287127,5.926150486833212,6.940100442180097,7.717087075782632,3.4465115318854163,4.222306173914516,5.213157045869216,5.897705470450618,3.485986890801424,4.226226853662425,7.0463517881703845,7.948474143016348,0
29,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,61468.78188925513,12.063000884612435,31.01021494006317,10.862479313319705,905595.0,905595.0,3.593217718737405,87.21315819985756,4.600952964625468,0.3367951457329159,2.206394690783408,0.1365952771382351,0.188163583058652,1.7247224200663651,14.929606878239415,5.653972579676083,5.621030742349177,5.094335938395132,6.138003116857123,7.102568357617798,8.11154472483816,3.056725440526621,3.9717370330411352,4.902186489261951,6.193233365367584,3.2676017138188755,4.151233426097432,7.190942885512521,8.346101372050558,0
30,Champaign & Springfield-Decatur IL,54758.172524893474,15.560022538292491,27.90209922640145,11.277463379530412,949747.0,949747.0,3.50819744626727,81.56898626686898,9.189289358113266,0.1592002922883673,3.1984307399760143,0.0368519195111961,0.128876427090583,2.210167549884338,12.837414587670963,5.082968516177612,4.881456536495899,4.621347583392024,5.546535382573587,6.58338625901133,7.749323708375369,2.22125982826252,3.4389725213407667,4.3620436667692575,5.364426563832132,2.3493293623109963,3.599736753821015,6.349537775237733,7.511092950367486,0
31,Charleston SC,60381.84534482625,14.052601809954751,33.28208691117622,11.801038813202815,905369.0,905369.0,5.205501845104041,62.73033426150001,27.68661175719513,0.2882802481640082,1.5691944389525154,0.0723461925469062,0.2264270148414624,2.221304241695927,21.538063319169307,5.315701981414147,5.033791658513707,4.84417508574014,5.914105131386148,6.900191898844567,7.766022114896526,2.644870026210358,3.6198781720548263,4.471186694334655,5.5019686024122825,2.8945905577904525,3.7984246993993898,6.607616924658276,7.593309226227961,2
32,Charleston-Huntington WV,42545.32268484084,21.079057996436585,17.917636468617868,7.485735393796375,1196570.0,1196570.0,1.0744879112797412,93.8401430756245,2.555721771396575,0.1704873095598251,0.6869635708734132,0.02406879664374,0.0745464118271392,1.5735811527950727,34.184727248092805,5.651258237049489,4.860712564948562,5.142375890527204,6.056554604439349,7.038553703207431,7.943158829417756,2.5982671933458783,3.7178792765450193,4.5870741313322325,5.551713861651121,3.323340245566892,4.263286837235249,6.372395015232955,7.170014006156827,0
33,Charlotte NC,60162.835093544025,12.940365503367795,31.5725811181624,10.56365606747342,3261352.0,3261352.0,9.208113690273237,64.76850704861052,20.04604225486853,0.3400123629709397,3.3193902406118694,0.0394314995744096,0.2442238678928248,2.0342790351976725,15.379946146198613,5.649812803615692,6.001253503062211,5.184383785470366,6.1428625196409286,7.042677276975215,8.010968263793634,3.332587949793088,4.435755344760303,5.430380351640372,6.506058858027172,3.293658328048756,4.210289514067869,7.61076458089413,8.679513187585954,2
34,Charlottesville VA,76201.59024044922,7.988355204323034,45.88870683900722,21.78270179362479,166688.0,166688.0,5.195334997120368,78.42376175849492,9.63416682664619,0.18177673257823,3.706325590324439,0.042594547897869,0.1619792666538683,2.654060280284124,37.76050971974483,5.606095037590545,5.2218602481082605,5.235598312470321,6.032886795162226,6.911983080953504,7.95125988997639,3.539524707084133,4.9664902597570775,5.939653366224218,6.460589728622352,3.4646346219129125,4.464582530881362,,,2
35,Chattanooga TN,50183.49982326564,14.934551409877551,22.275170280022248,7.935314553387014,1026965.0,1026965.0,7.995598681551952,79.67408821138014,8.69075382315853,0.2674872074510815,1.2571996124502782,0.0283359218668601,0.1668995535388255,1.919636988602338,52.63859737443363,5.2890589527383325,5.094952484694609,4.783993905620529,5.629759179148426,6.717971892792613,7.74441273645427,2.869796185358624,3.759461652707713,4.634955728034469,5.944761694362336,2.908017719713087,3.9023560292949258,6.867902619443603,8.187998044659967,0
36,Cheyenne WY-Scottsbluff NE,61578.87155466508,10.94650491848865,26.909250679022207,9.739974436810993,147736.0,147736.0,16.506471002328478,77.80703416905833,1.529755780581578,0.9706503492716736,1.022093464016895,0.0961173986029133,0.022337141928846,2.045540694211296,181.7142857142857,5.453823552407127,5.440896485621289,5.213395681431631,6.176593119748385,6.405985512608332,7.529181389133591,3.143097259575286,3.917887946880512,4.938471431580695,6.298082667276928,3.3132732901775888,4.097661615278192,6.837579426329908,7.514068655038449,0
